Make,Model,Total_Accidents,Mean_Severity,Fatal_Rate,Mean_Damage,Norm_Mean_Severity,Norm_Fatal_Rate,Norm_Mean_Damage,Composite_Risk,Fatal_Rate_Pct,Composite_Risk_r,Make_Model
Aero Commander,100,41,1.3170731707317074,0.14634146341463414,2.1707317073170733,0.021377660141941975,0.21951219512195122,0.6968641114982579,0.3125846555873837,14.63,0.313,Aero Commander 100
Aero Commander,100-180,17,2.0588235294117645,0.11764705882352941,2.2941176470588234,0.03435558768393839,0.17647058823529413,0.7703081232492995,0.3270447663895107,11.76,0.327,Aero Commander 100-180
Aero Commander,112,18,2.5555555555555554,0.3333333333333333,2.3333333333333335,0.04304658751648961,0.5,0.7936507936507937,0.44556579372242777,33.33,0.446,Aero Commander 112
Aero Commander,500,18,2.6666666666666665,0.2777777777777778,2.0555555555555554,0.04499062695271818,0.4166666666666667,0.6283068783068781,0.3633213906420876,27.78,0.363,Aero Commander 500
Aero Commander,500-B,16,3.3125,0.3125,2.375,0.05629035617579671,0.46875,0.8184523809523808,0.44783091237605915,31.25,0.448,Aero Commander 500-B
Aero Commander,500S,15,5.466666666666667,0.5333333333333333,2.533333333333333,0.09398042074567799,0.8,0.9126984126984126,0.6022262778146968,53.33,0.602,Aero Commander 500S
Aero Commander,690A,16,4.6875,0.5,2.5,0.08034784419912519,0.75,0.8928571428571428,0.5744016623520893,50.0,0.574,Aero Commander 690A
Aero Commander,S2R,72,0.5277777777777778,0.09722222222222222,2.236111111111111,0.007567867805318337,0.14583333333333334,0.7357804232804233,0.2963938748063583,9.72,0.296,Aero Commander S2R
Aeronca,11AC,81,1.4074074074074074,0.13580246913580246,2.0987654320987654,0.022958180008794463,0.2037037037037037,0.6540270429159317,0.29356297554280997,13.58,0.294,Aeronca 11AC
Aeronca,15AC,35,0.6,0.05714285714285714,2.0,0.008831493438866902,0.08571428571428572,0.5952380952380952,0.22992795813041597,5.71,0.23,Aeronca 15AC
Aeronca,7AC,271,1.3800738007380073,0.12546125461254612,2.1365313653136533,0.0224799415250974,0.1881918819188192,0.6765067650676507,0.2957261961705224,12.55,0.296,Aeronca 7AC
Aeronca,7BCM,35,1.1142857142857143,0.08571428571428572,2.2,0.01782961882941054,0.1285714285714286,0.7142857142857143,0.28689558722885117,8.57,0.287,Aeronca 7BCM
Aeronca,7CCM,17,2.0,0.23529411764705882,2.176470588235294,0.0333263903353468,0.35294117647058826,0.7002801120448178,0.36218255961691764,23.53,0.362,Aeronca 7CCM
Aeronca,7DC,19,0.7368421052631579,0.10526315789473684,2.1578947368421053,0.011225731481379975,0.15789473684210525,0.6892230576441103,0.2861145086558652,10.53,0.286,Aeronca 7DC
Aeronca,7EC,23,0.8260869565217391,0.17391304347826086,2.1739130434782608,0.012787191074323283,0.2608695652173913,0.6987577639751551,0.3241381734222899,17.39,0.324,Aeronca 7EC
Aerospatiale,AS-350D,17,3.6470588235294117,0.35294117647058826,2.3529411764705883,0.06214391609591139,0.5294117647058825,0.8053221288515406,0.4656259365511115,35.29,0.466,Aerospatiale AS-350D
Aerospatiale,AS350,18,2.0,0.2777777777777778,2.0,0.0333263903353468,0.4166666666666667,0.5952380952380952,0.3484103840800363,27.78,0.348,Aerospatiale AS350
Aerospatiale,AS350B,19,3.3684210526315788,0.3157894736842105,2.263157894736842,0.057268770760477525,0.47368421052631576,0.7518796992481201,0.4276108935116378,31.58,0.428,Aerospatiale AS350B
Aerospatiale,AS350BA,15,4.8,0.3333333333333333,2.066666666666667,0.0823161841283066,0.5,0.634920634920635,0.40574560634964724,33.33,0.406,Aerospatiale AS350BA
Aerospatiale,AS350D,15,5.333333333333333,0.26666666666666666,2.2666666666666666,0.09164757342220371,0.4,0.7539682539682538,0.4152052757968192,26.67,0.415,Aerospatiale AS350D
Aerospatiale,ATR-42-300,15,0.9333333333333333,0.06666666666666667,1.3333333333333333,0.014663611747552593,0.1,0.19841269841269835,0.10435877005341698,6.67,0.104,Aerospatiale ATR-42-300
Aerospatiale,SA315B,21,1.9047619047619047,0.14285714285714285,2.3333333333333335,0.03166007081857946,0.21428571428571427,0.7936507936507937,0.34653219291836246,14.29,0.347,Aerospatiale SA315B
Aerospatiale,SA316B,18,3.7777777777777777,0.1111111111111111,2.2777777777777777,0.06443102131500382,0.16666666666666666,0.7605820105820105,0.33055989952122694,11.11,0.331,Aerospatiale SA316B
Aerotek,PITTS S-2A,16,2.375,0.4375,2.375,0.0398875234326182,0.65625,0.8184523809523808,0.5048633014616662,43.75,0.505,Aerotek PITTS S-2A
Agusta,A109,16,3.9375,0.4375,2.25,0.06722557800458237,0.65625,0.744047619047619,0.48917439901740045,43.75,0.489,Agusta A109
Air Tractor,301,18,0.7222222222222222,0.1111111111111111,2.111111111111111,0.010969936818718322,0.16666666666666666,0.6613756613756614,0.27967075495368215,11.11,0.28,Air Tractor 301
Air Tractor,AT-301,153,0.6797385620915033,0.09803921568627451,2.1699346405228757,0.010226627622513284,0.14705882352941177,0.696389666977902,0.2845583727099424,9.8,0.285,Air Tractor AT-301
Air Tractor,AT-400,24,1.0833333333333333,0.20833333333333334,2.1666666666666665,0.01728806498646115,0.31250000000000006,0.6944444444444443,0.3414108364769685,20.83,0.341,Air Tractor AT-400
Air Tractor,AT-401,68,0.6029411764705882,0.058823529411764705,2.1911764705882355,0.008882953306296482,0.08823529411764706,0.7090336134453782,0.2687172869564406,5.88,0.269,Air Tractor AT-401
